コード,略称,説明
00,対象外,消費税に関係ない科目
97,不課税売上,不課税売上
98,不課税仕入,不課税仕入
99,不明,不明
A0,非売上,非課税売上
B1,売上3%,課税売上3%
B2,売上4.5%,課税売上4.5%
B3,売上5%,課税売上5%
B4,売上8%,課税売上8%
B5,売上10%,課税売上10%
B6,売上8%軽,課税売上8%（軽）
C1,売返3%,課税売上返還3%
C2,売返4.5%,課税売上返還4.5%
C3,売返5%,課税売上返還5%
C4,売返8%,課税売上返還8%
C5,売返10%,課税売上返還10%
C6,売返8%軽,課税売上返還8%（軽）
D1,貸倒3%,課税貸倒れ3%
D2,貸倒4.5%,課税貸倒れ4.5%
D3,貸倒5%,課税貸倒れ5%
D4,貸倒8%,課税貸倒れ8%
D5,貸倒10%,課税貸倒れ10%
D6,貸倒8%軽,課税貸倒れ8%（軽）
E1,貸倒回収3%,課税貸倒れ回収3%
E2,貸倒回収4.5%,課税貸倒れ回収4.5%
E3,貸倒回収5%,課税貸倒れ回収5%
E4,貸倒回収8%,課税貸倒れ回収8%
E5,貸倒回収10%,課税貸倒れ回収10%
E6,貸倒回収8%軽,課税貸倒れ回収8%（軽）
F0,輸出,輸出免税売上
G0,非売返,非課税売上の返還
H0,輸出返,輸出免税売上の返還
P0,非仕入,非課税仕入
Q0,仕入免税等,課税仕入（共通・免税等）
Q1,仕入3%,課税仕入3%（共通）
Q2,仕入4.5%,課税仕入4.5%（共通）
Q3,仕入5%,課税仕入5%（共通）
Q4,仕入8%,課税仕入8%（共通）
Q5,仕入10%,課税仕入10%（共通）
Q6,仕入8%軽,課税仕入8%（軽）（共通）
QA,仕入3%控80,課税仕入3%（共通・控除80%）
QB,仕入5%控80,課税仕入5%（共通・控除80%）
QC,仕入8%控80,課税仕入8%（共通・控除80%）
QD,仕入10%控80,課税仕入10%（共通・控除80%）
QE,仕入8%軽控80,課税仕入8%（軽・共通・控除80%）
R0,仕返免税等,課税仕入返還（共通・免税等）
R1,仕返3%,課税仕入返還3%（共通）
R2,仕返4.5%,課税仕入返還4.5%（共通）
R3,仕返5%,課税仕入返還5%（共通）
R4,仕返8%,課税仕入返還8%（共通）
R5,仕返10%,課税仕入返還10%（共通）
R6,仕返8%軽,課税仕入返還8%（軽）（共通）
RA,仕返3%控80,課税仕入返還3%（共通・控除80%）
RB,仕返5%控80,課税仕入返還5%（共通・控除80%）
RC,仕返8%控80,課税仕入返還8%（共通・控除80%）
RD,仕返10%控80,課税仕入返還10%（共通・控除80%）
RE,仕返8%軽控80,課税仕入返還8%（軽・共通・控除80%）
S0,仕課免税等,課税売上対応課税仕入（免税等）
S1,仕入(課)3%,課税売上対応課税仕入3%
S2,仕入(課)4.5%,課税売上対応課税仕入4.5%
S3,仕入(課)5%,課税売上対応課税仕入5%
S4,仕入(課)8%,課税売上対応課税仕入8%
S5,仕入(課)10%,課税売上対応課税仕入10%
S6,仕入(課)8%軽,課税売上対応課税仕入8%（軽）
SA,仕課3%控80,課税売上対応課税仕入3%（控除80%）
SB,仕課5%控80,課税売上対応課税仕入5%（控除80%）
SC,仕課8%控80,課税売上対応課税仕入8%（控除80%）
SD,仕課10%控80,課税売上対応課税仕入10%（控除80%）
SE,仕課8%軽控80,課税売上対応課税仕入8%（軽・控除80%）
T0,仕返課免税等,課税売上対応課税仕入返還（免税等）
T1,仕返(課)3%,課税売上対応課税仕入返還3%
T2,仕返(課)4.5%,課税売上対応課税仕入返還4.5%
T3,仕返(課)5%,課税売上対応課税仕入返還5%
T4,仕返(課)8%,課税売上対応課税仕入返還8%
T5,仕返(課)10%,課税売上対応課税仕入返還10%
